'id','aopf','hygleadtime','lrff','actual','averagedn','category','chinesebrand','clazz','competitorleadtime','competitorname','competitorpricing','dealerhandlingcost','dealernet','dealerpremiumpercentage','dealerpricingpremium','dealerpricingpremiumpercentage','dealerstreetpricing','ischinesebrand','marketshare','model','plant','region','series','variancepercentage','color_id','country_id'
1925,0,49.0,0,0,10000.0,Class 2 (Pantograpgh 1.4 - 2.5T),false,Class 2,46.0,Hyster,62052.0,52388.0,10000.0,0.1,1000.0,0.015775856629014956,63388.0,false,0.1705,'','',Asia,'',-0.03764584541997035,1533,335
1926,0,49.0,0,0,10000.0,Class 2 (Pantograpgh 1.4 - 2.5T),false,Class 2,49.0,Yale,63388.0,52388.0,10000.0,0.1,1000.0,0.015775856629014956,63388.0,false,0.2273,'','',Asia,'',-0.015775856629014956,1532,335
1915,57,17.0,61,18,946.4555357142856,Class 2 (MMRT 1.3 - 1.5T),false,Class 2,28.0,Linde,51420.0,31198.928910714283,946.4555357142857,0.1,94.64555357143036,0.002935653396458699,32240.03,false,0.3684,'',Masate,Asia,D435,0.37116539180141134,1539,335
1916,57,17.0,61,18,946.4555357142856,Class 2 (MMRT 1.3 - 1.5T),false,Class 2,28.0,Jungheinrich,51354.0,31198.928910714283,946.4555357142857,0.1,94.64555357143036,0.002935653396458699,32240.03,false,0.2105,'',Masate,Asia,D435,0.37035721553196577,1535,335
1917,57,17.0,61,18,946.4555357142856,Class 2 (MMRT 1.3 - 1.5T),false,Class 2,38.0,Still,51300.0,31198.928910714283,946.4555357142857,0.1,94.64555357143036,0.002935653396458699,32240.03,false,0.1263,'',Masate,Asia,D435,0.3696944336535784,1536,335
1918,57,17.0,61,18,946.4555357142856,Class 2 (MMRT 1.3 - 1.5T),false,Class 2,24.0,BT,55022.0,31198.928910714283,946.4555357142857,0.1,94.64555357143036,0.002935653396458699,32240.03,false,0.0526,'',Masate,Asia,D435,0.41233187536673643,1544,335
1919,57,17.0,61,18,946.4555357142856,Class 2 (MMRT 1.3 - 1.5T),false,Class 2,18.0,Hyster,50494.46,31198.928910714283,946.4555357142857,0.1,94.64555357143036,0.002935653396458699,32240.03,false,0.1053,'',Masate,Asia,D435,0.35963914549098197,1533,335
1920,57,17.0,61,18,946.4555357142856,Class 2 (MMRT 1.3 - 1.5T),false,Class 2,18.0,Yale,52405.0,31198.928910714283,946.4555357142857,0.1,94.64555357143036,0.002935653396458699,32240.03,false,0.1263,'',Masate,Asia,D435,0.3829849145392342,1532,335
1921,57,17.0,61,18,946.4555357142856,Class 2 (MMRT 1.3 - 1.5T),false,Class 2,17.0,HYG (China),32240.03,31198.928910714283,946.4555357142857,0.1,94.64555357143036,0.002935653396458699,32240.03,false,0.0105,'',Masate,Asia,D435,-0.002935653396458699,1530,335
1857,0,12.0,0,0,10000.0,Class 1 (Li-ion),true,Class 1,2.0,Heli,14960.0,13921.439999999999,10000.0,0.1,1000.0,0.04012609223223056,24921.44,false,0.25,'','',Asia,'',-0.7327165775401069,1531,326
1858,0,12.0,0,0,10000.0,Class 1 (Li-ion),true,Class 1,2.0,Hangcha,14960.0,13921.439999999999,10000.0,0.1,1000.0,0.04012609223223056,24921.44,false,0.16,'','',Asia,'',-0.7327165775401069,1529,326
1859,0,12.0,0,0,10000.0,Class 1 (Li-ion),false,Class 1,44.0,Jungheinrich,24750.0,13921.439999999999,10000.0,0.1,1000.0,0.04012609223223056,24921.44,false,0.09,'','',Asia,'',-0.047330909090909035,1535,326
1860,0,12.0,0,0,10000.0,Class 1 (Li-ion),false,Class 1,15.0,HYG (China),21237.4,13921.439999999999,10000.0,0.1,1000.0,0.04012609223223056,24921.44,false,0.01,'','',Asia,'',-0.2205561886106584,1530,326
1861,0,12.0,0,0,10000.0,Class 1 (Li-ion),false,Class 1,44.0,iMOW,12760.0,13921.439999999999,10000.0,0.1,1000.0,0.04012609223223056,24921.44,false,0.06,'','',Asia,'',-1.031460815047022,1556,326
1862,0,12.0,0,0,10000.0,Class 1 (Li-ion),false,Class 1,24.0,Toyota (China Li-ion),30339.15,13921.439999999999,10000.0,0.1,1000.0,0.04012609223223056,24921.44,false,0.03,'','',Asia,'',0.14561086912454707,1537,326
1863,0,12.0,0,0,10000.0,Class 1 (Li-ion),false,Class 1,20.0,Mistsubish (China),23837.9,13921.439999999999,10000.0,0.1,1000.0,0.04012609223223056,24921.44,false,0.01,'','',Asia,'',-0.08740451130342845,1538,326
1864,0,12.0,0,0,10000.0,Class 1 (Li-ion),false,Class 1,20.0,Unicarrier (Japan),23837.9,13921.439999999999,10000.0,0.1,1000.0,0.04012609223223056,24921.44,false,0.01,'','',Asia,'',-0.08740451130342845,1547,326
1865,0,12.0,0,0,10000.0,Class 1 (Li-ion),false,Class 1,22.0,Others (China),16253.12,13921.439999999999,10000.0,0.1,1000.0,0.04012609223223056,24921.44,false,0.37,'','',Asia,'',-0.5948593254710478,1550,326
1866,0,12.0,0,0,10000.0,Class 1 (Li-ion),false,Class 1,12.0,HYG (Japan),24921.44,13921.439999999999,10000.0,0.1,1000.0,0.04012609223223056,24921.44,false,0.01,'','',Asia,'',-0.04012609223223056,1530,326
1783,0,11.0,0,0,10000.0,Class 5 (2.5T Combined) Diesel,false,Class 5 non BT,20.0,TCM (China),14785.23,11450.0,10000.0,0.1,1000.0,0.044543429844097995,22450.0,false,0.4409,'','',Asia,'',-0.5860422867956738,1546,307
1784,0,11.0,0,0,10000.0,Class 5 (2.5T Combined) Diesel,false,Class 5 non BT,24.0,Toyota (China),18927.46,11450.0,10000.0,0.1,1000.0,0.044543429844097995,22450.0,false,0.2581,'','',Asia,'',-0.23894067138432737,1537,307
1785,0,11.0,0,0,10000.0,Class 5 (2.5T Combined) Diesel,false,Class 5 non BT,32.0,Linde.(China),18457.65,11450.0,10000.0,0.1,1000.0,0.044543429844097995,22450.0,false,0.0753,'','',Asia,'',-0.27047592732552617,1539,307
1786,0,11.0,0,0,10000.0,Class 5 (2.5T Combined) Diesel,false,Class 5 non BT,15.0,Yale  (China),18708.07,11450.0,10000.0,0.1,1000.0,0.044543429844097995,22450.0,false,0.0538,'','',Asia,'',-0.2534697593070798,1532,307
1787,0,11.0,0,0,10000.0,Class 5 (2.5T Combined) Diesel,false,Class 5 non BT,16.0,Hyundai(South Korea),17389.21,11450.0,10000.0,0.1,1000.0,0.044543429844097995,22450.0,false,0.0645,'','',Asia,'',-0.34853739761610797,1551,307
1788,0,11.0,0,0,10000.0,Class 5 (2.5T Combined) Diesel,false,Class 5 non BT,11.0,HYG (SN),22450.0,11450.0,10000.0,0.1,1000.0,0.044543429844097995,22450.0,false,0.0645,'','',Asia,'',-0.044543429844097995,1530,307
1789,0,11.0,0,0,10000.0,Class 5 (2.5T Combined) Diesel,false,Class 5 non BT,4.0,Sumitomo (Japan 3T),22000.0,11450.0,10000.0,0.1,1000.0,0.044543429844097995,22450.0,false,0.0215,'','',Asia,'',-0.0659090909090909,1541,307
