'id','meta_series','month_year','region_id','std_margin_percentage'
417,'968',2023-12-01,2,0.29
418,'985',2023-12-01,2,0.19
419,'99',2023-12-01,2,0.24
420,'955',2023-12-01,2,0.19
421,'976',2023-12-01,2,0.14
422,'815',2023-12-01,2,0.1
423,'826',2023-12-01,2,0.22
424,'457',2023-12-01,2,0.06
425,'474',2023-12-01,2,0.19
426,'495',2023-12-01,2,0.24
427,'820',2023-12-01,2,0.18
428,'419',2023-12-01,2,0.18
429,'290',2023-12-01,2,0.23
430,'1',2023-12-01,2,0.14
431,'810',2023-12-01,2,0.14
432,'177',2023-12-01,2,0.19
433,'5',2023-12-01,2,0.19
434,'6',2023-12-01,2,0.22
435,'878',2023-12-01,2,0.17
436,'3D0',2023-12-01,2,0.2
437,'7T0',2023-12-01,2,0.21
438,'19',2023-12-01,2,0.12
439,'877',2023-12-01,2,0.09
440,'236',2023-12-01,2,0.09
441,'8',2023-12-01,2,0.09
442,'917',2023-12-01,2,0.05
443,'222',2023-12-01,2,0.03
444,'238',2023-12-01,2,0.08
445,'117',2023-12-01,2,0.05
446,'366',2023-12-01,2,0.12
447,'299',2023-12-01,2,0.09
448,'117',2023-12-01,2,0.05
449,'117',2023-12-01,2,0.05
450,'117',2023-12-01,2,0.05
451,'117',2023-12-01,2,0.05
452,'276',2023-12-01,4,0.08
453,'976',2023-12-01,4,0.08
454,'985',2023-12-01,4,0.1
455,'915',2023-12-01,4,0.12
456,'435',2023-12-01,4,0.05
457,'815',2023-12-01,4,0.05
458,'849',2023-12-01,4,0.05
459,'406',2023-12-01,4,0.05
460,'843',2023-12-01,4,0.04
461,'956',2023-12-01,4,0.2
462,'6W9',2023-12-01,4,0.25
463,'001',2023-12-01,4,0.15
464,'810',2023-12-01,4,0.15
465,'3C1',2023-12-01,4,0.12
466,'253',2023-12-01,4,0.08
467,'236',2023-12-01,4,0.07
468,'3C0',2023-12-01,4,0.08
469,'289',2023-12-01,4,0.06
470,'7S4',2023-12-01,5,0.2
471,'3C5',2023-12-01,2,0.2
472,'3C4',2023-12-01,4,0.07
473,'3C5',2023-12-01,4,0.06
474,'921',2023-12-01,1,0.09
475,'921',2023-12-01,5,0.09
476,'921',2023-12-01,2,0.09
477,'404',2023-12-01,1,0.03
478,'404',2023-12-01,5,0.03
479,'214',2023-12-01,5,0.01
480,'214',2023-12-01,2,0.01
481,'008',2023-12-01,5,0.12
482,'3C0',2023-12-01,2,0.3
483,'236',2023-12-01,5,0.07
484,'876',2023-12-01,5,0.08
485,'117',2023-12-01,5,0.06
486,'117',2023-12-01,5,0.06
487,'117',2023-12-01,5,0.06
488,'117',2023-12-01,5,0.06
489,'117',2023-12-01,5,0.06
490,'006',2023-12-01,5,0.25
491,'970',2023-12-01,5,0.12
492,'970',2023-12-01,2,0.12
493,'970',2023-12-01,1,0.12
494,'869',2023-12-01,1,0.09
495,'813',2023-12-01,1,0.12
496,'813',2023-12-01,5,0.12
497,'813',2023-12-01,2,0.12
498,'464',2023-12-01,1,0.25
499,'276',2023-12-01,1,0.1
500,'276',2023-12-01,5,0.1
501,'276',2023-12-01,2,0.1
502,'005',2023-12-01,1,0.12
503,'005',2023-12-01,5,0.12
504,'868',2023-12-01,1,0.08
505,'857',2023-12-01,5,0.08
506,'857',2023-12-01,2,0.08
507,'868',2023-12-01,4,0.08
508,'807',2023-12-01,5,0.34
509,'935',2023-12-01,5,0.34
510,'935',2023-12-01,2,0.34
511,'3D0',2023-12-01,1,0.21
512,'264',2023-12-01,1,0.08
513,'455',2023-12-01,1,0.08
514,'264',2023-12-01,5,0.08
515,'264',2023-12-01,2,0.08
516,'861',2023-12-01,1,0.15
517,'861',2023-12-01,5,0.15
518,'861',2023-12-01,2,0.15
519,'861',2023-12-01,4,0.15
520,'435',2023-12-01,1,0.13
521,'435',2023-12-01,5,0.13
522,'435',2023-12-01,2,0.13
523,'849',2023-12-01,2,0.17
524,'849',2023-12-01,1,0.17
525,'849',2023-12-01,5,0.17
526,'976',2023-12-01,1,0.06
527,'7T0',2023-12-01,1,0.25
528,'3D0',2023-12-01,5,0.25
529,'7T0',2023-12-01,5,0.25
530,'871',2023-12-01,1,0.22
531,'871',2023-12-01,5,0.22
532,'871',2023-12-01,2,0.22
533,'826',2023-12-01,1,0.26
534,'160',2023-12-01,1,0.09
535,'160',2023-12-01,5,0.09
536,'160',2023-12-01,2,0.09
537,'7S5',2023-12-01,1,0.17
538,'466',2023-12-01,1,0.15
539,'466',2023-12-01,5,0.15
540,'466',2023-12-01,2,0.15
541,'976',2023-12-01,5,0.09
542,'807',2023-12-01,1,0.08
543,'807',2023-12-01,2,0.08
544,'225',2023-12-01,1,0.19
545,'225',2023-12-01,2,0.19
546,'3C5',2023-12-01,1,0.15
547,'3C5',2023-12-01,5,0.15
548,'177',2023-12-01,1,0.04
549,'177',2023-12-01,5,0.04
550,'475',2023-12-01,1,0.23
551,'475',2023-12-01,5,0.23
552,'475',2023-12-01,2,0.23
553,'875',2023-12-01,2,0.06
554,'881',2023-12-01,1,0.17
555,'881',2023-12-01,5,0.17
556,'881',2023-12-01,2,0.17
557,'7S4',2023-12-01,1,0.1
558,'7S4',2023-12-01,1,0.1
559,'7S4',2023-12-01,2,0.1
560,'7S4',2023-12-01,2,0.1
561,'226',2023-12-01,1,0.1
562,'826',2023-12-01,5,0.09
563,'925',2023-12-01,1,0.26
564,'882',2023-12-01,1,0.08
565,'955',2023-12-01,1,0.1
566,'466',2023-12-01,4,0.11
567,'7S5',2023-12-01,5,0.18
568,'7S5',2023-12-01,2,0.18
569,'456',2023-12-01,1,0.11
570,'812',2023-12-01,1,0.22
571,'812',2023-12-01,5,0.22
572,'812',2023-12-01,2,0.22
573,'3C4',2023-12-01,1,0.12
574,'3C4',2023-12-01,5,0.12
575,'3C4',2023-12-01,2,0.12
576,'7S1',2023-12-01,1,0.13
577,'224',2023-12-01,1,0.17
578,'900',2023-12-01,1,0.17
