'model_code','brand','clazz','family','series','plant','segment','trucktype','description','image','id'
H170FT,Hyster,Class 5 NOT BT,,D299,Berea,,,,,6924
H4.5UT,Hyster,Class 5 NOT BT,,A3C6,Maximal,,,,,6925
GP40VX6,Yale,Class 5 NOT BT,,K813,Craigavon,,,,,6926
J2.5XN,Hyster,Class 2,,A276,Craigavon,,,,,6927
H44XDS12,Hyster,Class 5 BT,,D917,Nijmegen,,,,,6928
ERP30VLL,Yale,Class 2,,A976,Craigavon,,,,,6929
J80XNS,Hyster,Class 1,,A250,Craigavon,,,,,6930
H11XD-ECD9,Hyster,Class 5 BT,,F214,Nijmegen,,,,,6931
ERC060VG,Yale,Class 1,,A968,Greenville,,,,,6932
GP2.5N,Yale,Class 5 NOT BT,,E875,Craigavon,,,,,6933
H25XD12,Hyster,Class 5 BT,,J008,Nijmegen,,,,,6934
P2.0S,Hyster,Class 3,,A3D9,Maximal,,,,,6935
GP70UX6,Yale,Class 5 NOT BT,,A3D0,Maximal,,,,,6936
H9XM-EC7,Hyster,Class 5 BT,,A3C0,Maximal,,,,,6937
MS12XI,Yale,Class 3,,D847,Masate,,,,,6938
H16XDS9,Hyster,Class 5 BT,,R007,Nijmegen,,,,,6939
K1.0H,Hyster,Class 2,,B460,Masate,,,,,6940
MR25,Yale,Class 2,,D849,Masate,,,,,6941
H10XD6,Hyster,Class 5 BT,,R007,Nijmegen,,,,,6942
F1.8UT4,Hyster,Class 5 NOT BT,,A3B8,Maximal,,,,,6943
ERC120VH,Yale,Class 1,,A938,Greenville,,,,,6944
GDP90F,Yale,Class 5 BT,,K876,Nijmegen,,,,,6945
KDP18UX,Yale,Class 5 NOT BT,,A7S0,Maximal,,,,,6946
F2.5UT4,Hyster,Class 5 NOT BT,,A3B8,Maximal,,,,,6947
J3.5GXS,Hyster,Class 1,,C225,SN,,,,,6948
ME60XN,Hyster,Class 1,,A268,Greenville,,,,,6949
MYMR16,Yale,Not Offer,,A7R4,unknown,,,,,6950
GP2.5N6,Yale,Class 5 NOT BT,,E875,Craigavon,,,,,6951
GP20SVX,Yale,Class 5 NOT BT,,D810,Craigavon,,,,,6952
ERP40VM,Yale,Class 3,,A985,Craigavon,,,,,6953
MPW080-E,Yale,Class 3,,B891,Greenville,,,,,6954
GLP15MX,Yale,Class 5 NOT BT,,E812,SN,,,,,6955
C1.5S,Hyster,Class 2,,B464,Masate,,,,,6956
E100XNS,Hyster,Class 1,,A099,Greenville,,,,,6957
G14DPE,Yale,Class 5 BT,,K876,Nijmegen,,,,,6958
T6.0UT,Hyster,Class 3,,A3C7,Ruyi,,,,,6959
N40ZR3,Hyster,Class 2,,E264,Greenville,,,,,6960
S120FTPRS,Hyster,Class 4,,J004,Berea,,,,,6961
MR14,Yale,Class 2,,D849,Masate,,,,,6962
MO20P,Yale,Class 2,,E857,Masate,,,,,6963
RS46-41XD/75S,Hyster,Class 5 BT,,F222,Nijmegen,,,,,6964
H190FT,Hyster,Class 5 NOT BT,,D299,Berea,,,,,6965
GDP12F,Yale,Class 5 BT,,J876,Nijmegen,,,,,6966
GDP13E,Yale,Class 5 BT,,K876,Nijmegen,,,,,6967
R1.6N,Hyster,Class 2,,D435,Masate,,,,,6968
H8XD-EC7,Hyster,Class 5 BT,,F214,Nijmegen,,,,,6969
GTP25B,Yale,'',,D871,'',,,,,6970
J35XNT,Hyster,Class 2,,K160,Craigavon,,,,,6971
H135FT,Hyster,Class 5 NOT BT,,P006,Berea,,,,,6972
YGDP16,Yale,Class 5 BT,,B674,Nijmegen,,,,,6973
ESC040AD,Yale,Class 1,,C883,Greenville,,,,,6974
GDP35MX,Yale,Class 5 NOT BT,,D871,SN,,,,,6975
MS12X,Yale,Class 3,,D847,Masate,,,,,6976
S1.4S,Hyster,Class 3,,D442,Masate,,,,,6977
H3.5XT,Hyster,Class 5 NOT BT,,D466,SN,,,,,6978
H16XD6,Hyster,Class 5 BT,,N019,Nijmegen,,,,,6979
H1.8FT,Hyster,Class 5 NOT BT,,G001,Craigavon,,,,,6980
H7XD-EC4,Hyster,Class 5 BT,,R007,Nijmegen,,,,,6981
ERP25VL,Yale,Class 2,,A976,Craigavon,,,,,6982
FBR15SZ,Yale,Class 2,,C900,SN,,,,,6983
H30XD9,Hyster,Class 5 BT,,J008,Nijmegen,,,,,6984
H16XDS12,Hyster,Class 5 BT,,R007,Nijmegen,,,,,6985
MS70FT,Hyster,Class 4,,H187,Berea,,,,,6986
KDP35UX4,Yale,Class 5 NOT BT,,A7R8,Maximal,,,,,6987
